id_remoto_cliente|id_remoto_representante
109050|11067
109051|11034
109059|11058
109073|11103
109076|11045
109082|11045
109085|11050
109094|11060
109168|11048
111711|15064
111859|15064
111923|16001
112003|11060
112079|16001
112147|16001
112251|16001
112345|15064
112351|15064
112440|16001
112455|16001
112505|16001
112547|16001
112677|15054
112745|16001
112930|16001
112949|16001
113426|11106
113924|15038
114751|15061
114947|15054
115000|15047
115436|11045
200277|11001
200282|11064
200288|11066
200292|11060
200296|11050
200297|11064
200301|11060
200302|11054
200305|11045
200307|11035
200308|11060
200310|11060
200315|11060
200324|11041
200327|11041
200328|11041
200334|11045
200337|11048
200339|11064
200341|11050
200344|11054
200345|11054
200346|11054
200347|11045
200350|11048
200355|11054
200356|11035
200357|11041
200359|11034
200361|11001
200362|11052
200364|11052
200365|11052
200366|11052
200367|11045
200371|11050
200373|11039
200374|11037
200379|11037
200380|11060
200383|11060
200384|11060
200385|11050
200386|11050
200387|11060
200388|11060
200389|11045
200391|11060
200392|11060
200395|11041
200397|11052
200398|11052
200412|11039
200413|11060
200414|11039
200419|11037
200421|11037
200422|11037
200427|11064
200428|11064
200430|11064
200433|11106
200436|11050
200438|11060
200443|11060
200469|11045
200479|11035
200481|11052
200484|11035
200485|11035
200519|11060
200521|11045
200522|11045
200526|11054
200530|11064
200533|11050
200535|11041
200545|11035
200548|11041
200556|11053
200557|11053
200566|11037
200594|11050
200595|11050
200596|11050
200606|11064
200622|11035
200629|11066
200630|11052
200631|11053
200632|11064
200637|11107
200638|11034
200639|11105
200650|11039
200660|11039
200661|11039
200662|11064
200663|11039
200671|11037
200675|11064
200677|11060
200687|11050
200688|11050
200690|11064
200692|11039
200696|11103
200701|11045
200702|11045
200703|11045
200710|11053
200711|11050
200717|11045
200718|11054
200719|11045
200722|11045
200729|11052
200730|11052
200734|11041
200741|11064
200747|11052
200754|11104
200757|11066
200758|11037
200761|11064
200765|11052
200767|11050
200772|11050
200773|11060
200774|11050
200775|11050
200776|11060
200777|11035
200783|11052
200784|11035
200792|11060
200817|11050
200834|11041
200841|11045
200858|11053
200863|11048
200876|11035
200887|11035
200894|11039
200895|11039
200922|11050
200923|11050
200934|11035
200937|11050
200943|11037
200944|11039
200945|11037
200947|11064
200952|11054
200971|11050
200978|11052
200979|11035
200981|11060
200990|11052
200993|11064
201000|11054
201005|11037
201009|11053
201010|11050
201014|11001
201051|11035
201069|11048
201070|11054
201071|11054
201072|11060
201087|11050
201091|11064
201096|11064
201099|11050
201111|11045
201116|11039
201117|11039
201124|11050
201139|11053
201141|11053
201162|11064
201163|11064
201184|11040
201185|11039
201188|11054
201190|11064
201194|11039
201208|11034
201211|11037
201213|11039
201214|11039
201219|11035
201232|11060
201234|11039
201235|11037
201242|11060
201243|11040
201247|11054
201259|11040
201260|11064
201264|11066
201276|11034
201278|11065
201280|11039
201284|11060
201289|11064
201292|11045
201293|11064
201294|11064
201295|11045
201297|11039
201306|11050
201310|11053
201311|11054
201312|11050
201313|11037
201318|11105
201330|11045
201332|11054
201333|11035
