ABASE ON-LINE|ZOETIS|ZOETIS ÉTICOS|CÓDIGO
SIM|SIM|NÃO|7089
SIM|SIM|SIM|4045
SIM|SIM|SIM|6974
SIM|SIM|SIM|5169
SIM|SIM|NÃO|1305
SIM|SIM|NÃO|264
SIM|SIM|NÃO|6027
SIM|SIM|SIM|5073
SIM|SIM|NÃO|6996
SIM|SIM|NÃO|6971
SIM|SIM|NÃO|7432
SIM|NÃO|NÃO|8666
SIM|SIM|SIM|7350
SIM|SIM|NÃO|3701
SIM|SIM|NÃO|5292
SIM|SIM|NÃO|1921
NÃO|NÃO|NÃO|5295
SIM|SIM|SIM|5726
SIM|SIM|NÃO|6142
SIM|SIM|NÃO|6200
SIM|SIM|NÃO|7246
NÃO|NÃO|NÃO|2666
NÃO|NÃO|NÃO|1695
SIM|SIM|NÃO|6837
SIM|SIM|NÃO|8031
NÃO|NÃO|NÃO|9908
SIM|SIM|NÃO|3511
SIM|SIM|SIM|5709
SIM|SIM|NÃO|6883
SIM|SIM|SIM|8823
NÃO|NÃO|NÃO|8665
SIM|SIM|SIM|9007
SIM|SIM|NÃO|4120
SIM|SIM|NÃO|5834
SIM|SIM|NÃO|1306
SIM|SIM|SIM|2051
NÃO|NÃO|NÃO|5621
SIM|SIM|NÃO|5647
SIM|SIM|SIM|7312
SIM|SIM|NÃO|5636
SIM|SIM|SIM|5303
SIM|SIM|SIM|4693
SIM|SIM|SIM|7695
SIM|SIM|SIM|9198
SIM|SIM|NÃO|1574
SIM|SIM|NÃO|7399
SIM|SIM|NÃO|5065
SIM|SIM|NÃO|3371
SIM|SIM|NÃO|2141
SIM|SIM|SIM|5721
SIM|SIM|SIM|8443
SIM|SIM|NÃO|7551
SIM|SIM|SIM|8488
SIM|SIM|SIM|4050
SIM|SIM|NÃO|5610
SIM|SIM|NÃO|927
SIM|SIM|SIM|6635
SIM|SIM|NÃO|491
SIM|SIM|NÃO|2629
SIM|SIM|NÃO|6805
SIM|SIM|NÃO|3802
SIM|SIM|SIM|7649
SIM|SIM|SIM|9030
SIM|SIM|SIM|1945
NÃO|NÃO|NÃO|5671
SIM|SIM|NÃO|8116
SIM|SIM|SIM|8579
SIM|SIM|SIM|2312
SIM|SIM|SIM|4705
SIM|SIM|SIM|8209
SIM|SIM|SIM|4908
SIM|SIM|SIM|4236
SIM|SIM|NÃO|1959
SIM|SIM|SIM|5310
SIM|SIM|NÃO|2219
SIM|SIM|NÃO|7706
SIM|SIM|SIM|4221
NÃO|NÃO|NÃO|5218
SIM|SIM|NÃO|9018
SIM|SIM|SIM|2011
SIM|SIM|SIM|6129
SIM|SIM|SIM|3934
SIM|SIM|SIM|1806
SIM|SIM|SIM|8151
SIM|SIM|SIM|179
SIM|SIM|NÃO|9446
SIM|SIM|NÃO|5536
SIM|SIM|SIM|8479
SIM|SIM|NÃO|7982
SIM|SIM|NÃO|7811
SIM|SIM|SIM|675
SIM|SIM|NÃO|8246
SIM|SIM|SIM|2874
SIM|SIM|SIM|7932
SIM|SIM|NÃO|1222
SIM|SIM|NÃO|1915
NÃO|NÃO|NÃO|6630
SIM|SIM|NÃO|8790
SIM|SIM|SIM|2088
SIM|SIM|NÃO|1985
SIM|SIM|SIM|1612
SIM|SIM|NÃO|4169
SIM|SIM|SIM|8675
SIM|SIM|NÃO|556
SIM|SIM|NÃO|9006
SIM|SIM|SIM|1881
SIM|SIM|SIM|4055
SIM|SIM|NÃO|7647
SIM|SIM|SIM|7303
SIM|SIM|NÃO|6543
SIM|SIM|SIM|6116
SIM|SIM|SIM|6092
SIM|SIM|SIM|2594
SIM|SIM|NÃO|2342
SIM|SIM|NÃO|716
SIM|SIM|SIM|2254
SIM|SIM|SIM|3831
SIM|SIM|SIM|8608
SIM|NÃO|NÃO|4187
SIM|SIM|NÃO|8150
SIM|SIM|NÃO|7861
SIM|SIM|SIM|2461
SIM|SIM|SIM|5016
SIM|SIM|NÃO|2094
SIM|SIM|SIM|3433
SIM|SIM|SIM|3888
SIM|SIM|NÃO|1926
SIM|SIM|NÃO|2032
SIM|SIM|NÃO|1756
SIM|SIM|NÃO|5368
SIM|SIM|SIM|1112
SIM|SIM|SIM|8621
SIM|SIM|NÃO|7417
NÃO|NÃO|NÃO|5066
NÃO|NÃO|NÃO|7387
NÃO|NÃO|NÃO|6697
SIM|SIM|SIM|6134
SIM|SIM|SIM|251
SIM|SIM|SIM|4480
SIM|SIM|SIM|4476
SIM|SIM|NÃO|6878
SIM|SIM|NÃO|5783
SIM|SIM|NÃO|3084
SIM|SIM|NÃO|891
SIM|SIM|SIM|4027
SIM|SIM|NÃO|1923
SIM|SIM|NÃO|209
SIM|SIM|SIM|1150
SIM|SIM|SIM|8578
SIM|SIM|NÃO|6835
SIM|SIM|NÃO|1554
SIM|SIM|NÃO|6772
NÃO|NÃO|NÃO|3090
SIM|SIM|SIM|5058
SIM|SIM|SIM|7418
SIM|SIM|NÃO|328
SIM|SIM|SIM|5863
SIM|SIM|NÃO|3007
SIM|SIM|SIM|6046
SIM|SIM|SIM|156
SIM|SIM|SIM|4702
SIM|SIM|SIM|1198
SIM|SIM|NÃO|2538
SIM|SIM|NÃO|1097
SIM|SIM|SIM|7320
SIM|SIM|NÃO|6796
SIM|SIM|NÃO|3662
SIM|SIM|SIM|2252
SIM|SIM|NÃO|7194
SIM|SIM|NÃO|1575
SIM|SIM|NÃO|6353
SIM|NÃO|NÃO|5811
SIM|SIM|NÃO|3791
SIM|NÃO|NÃO|894
NÃO|NÃO|NÃO|2692
SIM|SIM|NÃO|2517
SIM|SIM|NÃO|3699
SIM|SIM|NÃO|7392
NÃO|NÃO|NÃO|7725
SIM|SIM|SIM|329
SIM|SIM|NÃO|1862
SIM|SIM|NÃO|6105
SIM|SIM|SIM|6253
SIM|SIM|SIM|5944
SIM|SIM|SIM|6303
NÃO|NÃO|NÃO|5578
SIM|SIM|SIM|8033
