ABASE ON-LINE|ZOETIS|ZOETIS ÉTICOS|BAYER|CÓDIGO
SIM|SIM|SIM|SIM|1806
SIM|SIM|SIM|SIM|8151
SIM|SIM|SIM|SIM|179
SIM|SIM|NÃO|SIM|9446
SIM|SIM|NÃO|SIM|5536
SIM|SIM|SIM|SIM|8479
SIM|SIM|NÃO|SIM|7982
SIM|SIM|NÃO|SIM|7811
SIM|SIM|SIM|SIM|675
SIM|SIM|NÃO|SIM|8246
SIM|SIM|SIM|SIM|2874
SIM|SIM|SIM|SIM|7932
SIM|SIM|NÃO|SIM|1222
SIM|SIM|NÃO|SIM|1915
NÃO|NÃO|NÃO|NÃO|6630
SIM|SIM|NÃO|SIM|8790
SIM|SIM|SIM|SIM|2088
SIM|SIM|NÃO|SIM|1985
SIM|SIM|SIM|SIM|1612
SIM|SIM|NÃO|SIM|4169
SIM|SIM|SIM|SIM|8675
SIM|SIM|NÃO|SIM|556
SIM|SIM|NÃO|SIM|9006
SIM|SIM|SIM|SIM|1881
SIM|SIM|SIM|SIM|4055
SIM|SIM|NÃO|SIM|7647
SIM|SIM|SIM|SIM|7303
SIM|SIM|NÃO|SIM|6543
SIM|SIM|SIM|SIM|6116
SIM|SIM|SIM|SIM|6092
SIM|SIM|SIM|SIM|2594
SIM|SIM|NÃO|SIM|2342
SIM|SIM|SIM|SIM|2254
SIM|SIM|SIM|SIM|3831
SIM|SIM|SIM|SIM|8608
SIM|NÃO|NÃO|SIM|4187
SIM|SIM|NÃO|SIM|8150
SIM|SIM|NÃO|SIM|7861
SIM|SIM|SIM|SIM|2461
SIM|SIM|SIM|SIM|5016
SIM|SIM|NÃO|SIM|2094
SIM|SIM|SIM|SIM|3433
SIM|SIM|SIM|SIM|3888
SIM|SIM|NÃO|SIM|1926
SIM|SIM|NÃO|SIM|2032
SIM|SIM|NÃO|SIM|1756
SIM|SIM|NÃO|SIM|5368
SIM|SIM|SIM|SIM|1112
SIM|SIM|SIM|SIM|8621
SIM|SIM|NÃO|SIM|7417
NÃO|NÃO|NÃO|NÃO|5066
NÃO|NÃO|NÃO|NÃO|7387
SIM|SIM|SIM|SIM|6134
SIM|SIM|SIM|SIM|251
SIM|SIM|SIM|SIM|4480
SIM|SIM|SIM|SIM|4476
SIM|SIM|NÃO|SIM|6878
SIM|SIM|NÃO|SIM|5783
SIM|SIM|NÃO|SIM|3084
SIM|SIM|SIM|SIM|4027
SIM|SIM|NÃO|SIM|1923
SIM|SIM|NÃO|SIM|209
SIM|SIM|SIM|SIM|1150
SIM|SIM|SIM|SIM|8578
SIM|SIM|NÃO|SIM|6835
SIM|SIM|NÃO|SIM|1554
SIM|SIM|NÃO|SIM|6772
NÃO|NÃO|NÃO|NÃO|3090
SIM|SIM|SIM|SIM|5058
SIM|SIM|SIM|SIM|7418
SIM|SIM|NÃO|SIM|328
SIM|SIM|SIM|SIM|5863
SIM|SIM|NÃO|SIM|3007
SIM|SIM|SIM|SIM|6046
SIM|SIM|SIM|SIM|156
SIM|SIM|SIM|SIM|4702
SIM|SIM|SIM|SIM|1198
SIM|SIM|NÃO|SIM|2538
SIM|SIM|NÃO|SIM|1097
SIM|SIM|SIM|SIM|7320
SIM|SIM|NÃO|SIM|6796
SIM|SIM|NÃO|SIM|3662
SIM|SIM|SIM|SIM|2252
SIM|SIM|NÃO|SIM|7194
SIM|SIM|NÃO|SIM|1575
SIM|SIM|NÃO|SIM|6353
SIM|NÃO|NÃO|SIM|894
NÃO|NÃO|NÃO|NÃO|2692
SIM|SIM|NÃO|SIM|2517
SIM|SIM|NÃO|SIM|3699
SIM|SIM|NÃO|SIM|7392
NÃO|NÃO|NÃO|NÃO|7725
SIM|SIM|SIM|SIM|329
SIM|SIM|NÃO|SIM|1862
SIM|SIM|NÃO|SIM|6105
SIM|SIM|SIM|SIM|6253
SIM|SIM|SIM|SIM|5944
SIM|SIM|SIM|SIM|6303
