status_allin|id_erp|grupo_restricao
1|1872|
1|1874|[abase-restric-o-de-vacinas]
1|1894|[abase-restric-o-de-vacinas]
0|4670|[abase-restric-o-de-vacinas]
1|1897|[abase-restric-o-de-vacinas]
0|9124|[abase-restric-o-de-vacinas]
1|1933|
0|1953|[abase-restric-o-de-vacinas]
1|1959|[abase-restric-o-de-vacinas]
1|1965|[abase-restric-o-de-vacinas]
1|1975|
0|9479|[abase-restric-o-de-vacinas]
1|1980|
1|1988|
0|5342|[abase-restric-o-de-vacinas]
1|2004|
1|5562|
1|8183|
1|2032|[abase-restric-o-de-vacinas]
1|2046|
1|2050|[abase-restric-o-de-vacinas]
1|2051|
0|2052|[abase-restric-o-de-vacinas]
0|2053|[abase-restric-o-de-vacinas]
0|2054|[abase-restric-o-de-vacinas]
0|2057|[abase-restric-o-de-vacinas]
1|2067|[abase-restric-o-de-vacinas]
1|2068|
1|174|[abase-restric-o-de-vacinas]
1|2073|[abase-restric-o-de-vacinas]
1|2074|
1|2094|[abase-restric-o-de-vacinas]
0|8348|[abase-restric-o-de-vacinas]
0|3921|[abase-restric-o-de-vacinas]
1|2099|
0|552|[abase-restric-o-de-vacinas]
1|2108|[abase-restric-o-de-vacinas]
1|2109|[abase-restric-o-de-vacinas]
1|2117|[abase-restric-o-de-vacinas]
1|2122|[abase-restric-o-de-vacinas]
1|536|[abase-restric-o-de-vacinas]
1|2131|[abase-restric-o-de-vacinas]
1|2132|
1|2136|
1|2137|[abase-restric-o-de-vacinas]
1|2140|[abase-restric-o-de-vacinas]
1|2142|
0|2151|[abase-restric-o-de-vacinas]
1|9640|
0|2156|[abase-restric-o-de-vacinas]
0|5865|[abase-restric-o-de-vacinas]
1|2168|
1|2172|[abase-restric-o-de-vacinas]
1|2179|[abase-restric-o-de-vacinas]
1|2183|[abase-restric-o-de-vacinas]
0|2185|[abase-restric-o-de-vacinas]
1|5019|
0|5142|[abase-restric-o-de-vacinas]
1|2201|[abase-restric-o-de-vacinas]
1|2206|[abase-restric-o-de-vacinas]
1|2219|[abase-restric-o-de-vacinas]
1|2224|
0|5892|[abase-restric-o-de-vacinas]
1|5534|
1|2237|[abase-restric-o-de-vacinas]
1|325|
1|2239|[abase-restric-o-de-vacinas]
1|2240|
1|8116|[abase-restric-o-de-vacinas]
1|2248|[abase-restric-o-de-vacinas]
1|2249|
1|2252|
0|6142|[abase-restric-o-de-vacinas]
1|2254|
1|2259|[abase-restric-o-de-vacinas]
1|2263|
0|2270|[abase-restric-o-de-vacinas]
1|2271|
1|1190|[abase-restric-o-de-vacinas]
1|2291|[abase-restric-o-de-vacinas]
0|5747|[abase-restric-o-de-vacinas]
1|2298|[abase-restric-o-de-vacinas]
0|2304|[abase-restric-o-de-vacinas]
1|2305|
1|2306|
1|2308|
1|2309|
1|2310|
1|2313|
1|2320|[abase-restric-o-de-vacinas]
1|2322|
1|2326|[abase-restric-o-de-vacinas]
1|2338|[abase-restric-o-de-vacinas]
1|7417|[abase-restric-o-de-vacinas]
1|2341|
0|9892|[abase-restric-o-de-vacinas]
1|2345|
1|2346|[abase-restric-o-de-vacinas]
1|2347|
1|2352|[abase-restric-o-de-vacinas]
1|7884|[abase-restric-o-de-vacinas]
1|6878|[abase-restric-o-de-vacinas]
1|2356|[abase-restric-o-de-vacinas]
0|9220|[abase-restric-o-de-vacinas]
1|2372|
1|2373|
1|1698|[abase-restric-o-de-vacinas]
1|2377|[abase-restric-o-de-vacinas]
1|2387|[abase-restric-o-de-vacinas]
1|2145|[abase-restric-o-de-vacinas]
1|2391|
1|1188|[abase-restric-o-de-vacinas]
0|2399|[abase-restric-o-de-vacinas]
1|2406|[abase-restric-o-de-vacinas]
1|2429|[abase-restric-o-de-vacinas]
1|2430|
1|2431|
1|2433|[abase-restric-o-de-vacinas]
1|2449|[abase-restric-o-de-vacinas]
1|2450|[abase-restric-o-de-vacinas]
1|2451|
1|2452|
1|2459|
1|2475|[abase-restric-o-de-vacinas]
1|2481|
1|2508|
1|2522|
1|3277|
1|2528|
1|2529|
0|2530|[abase-restric-o-de-vacinas]
1|2531|[abase-restric-o-de-vacinas]
1|2532|
1|2533|[abase-restric-o-de-vacinas]
1|2534|
1|2541|[abase-restric-o-de-vacinas]
1|2542|
1|2550|[abase-restric-o-de-vacinas]
1|4656|[abase-restric-o-de-vacinas]
1|2556|
1|2559|
1|2566|
1|2567|
1|1515|
0|761|[abase-restric-o-de-vacinas]
0|2582|[abase-restric-o-de-vacinas]
1|7730|[abase-restric-o-de-vacinas]
1|2597|[abase-restric-o-de-vacinas]
1|2598|[abase-restric-o-de-vacinas]
1|3116|[abase-restric-o-de-vacinas]
1|2609|[abase-restric-o-de-vacinas]
1|2612|[abase-restric-o-de-vacinas]
0|9210|[abase-restric-o-de-vacinas]
1|2620|
1|2625|
1|2627|
1|2628|
1|1921|[abase-restric-o-de-vacinas]
1|2630|[abase-restric-o-de-vacinas]
1|2631|[abase-restric-o-de-vacinas]
1|2639|[abase-restric-o-de-vacinas]
0|2652|[abase-restric-o-de-vacinas]
1|2653|[abase-restric-o-de-vacinas]
1|2660|[abase-restric-o-de-vacinas]
1|2662|[abase-restric-o-de-vacinas]
1|2678|[abase-restric-o-de-vacinas]
0|7871|[abase-restric-o-de-vacinas]
1|1954|
1|2687|
1|2697|
1|2698|
1|2704|
0|2708|[abase-restric-o-de-vacinas]
0|2709|[abase-restric-o-de-vacinas]
1|2711|
1|2713|
0|2714|[abase-restric-o-de-vacinas]
1|2732|
1|2742|
1|2745|
1|9719|[abase-restric-o-de-vacinas]
1|2750|
1|2752|
1|2756|
1|2761|
1|2764|[abase-restric-o-de-vacinas]
1|1604|
1|2780|[abase-restric-o-de-vacinas]
0|953|[abase-restric-o-de-vacinas]
1|2788|
1|2252|
1|2810|
0|2814|[abase-restric-o-de-vacinas]
0|2817|[abase-restric-o-de-vacinas]
1|2818|
1|2821|[abase-restric-o-de-vacinas]
1|2823|
0|2825|[abase-restric-o-de-vacinas]
1|2828|
1|2835|
1|2836|
1|4559|[abase-restric-o-de-vacinas]
1|2841|[abase-restric-o-de-vacinas]
1|2842|
1|2845|
1|2849|
1|2850|
1|2852|
0|2853|[abase-restric-o-de-vacinas]
0|2854|[abase-restric-o-de-vacinas]
0|2856|[abase-restric-o-de-vacinas]
1|2857|
0|2858|[abase-restric-o-de-vacinas]
1|2860|[abase-restric-o-de-vacinas]
0|2862|[abase-restric-o-de-vacinas]
0|2864|[abase-restric-o-de-vacinas]
1|2867|
0|2869|[abase-restric-o-de-vacinas]
0|2872|[abase-restric-o-de-vacinas]
1|2874|
1|2876|[abase-restric-o-de-vacinas]
1|2877|
0|2884|[abase-restric-o-de-vacinas]
1|1756|[abase-restric-o-de-vacinas]
0|2887|[abase-restric-o-de-vacinas]
1|2888|
0|2889|[abase-restric-o-de-vacinas]
1|2892|
0|5221|[abase-restric-o-de-vacinas]
0|2900|[abase-restric-o-de-vacinas]
1|2205|
1|2905|
1|4469|
0|2907|[abase-restric-o-de-vacinas]
1|2908|
1|2914|
1|2915|[abase-restric-o-de-vacinas]
0|6753|[abase-restric-o-de-vacinas]
1|2921|[abase-restric-o-de-vacinas]
1|2933|
1|2934|[abase-restric-o-de-vacinas]
0|2938|[abase-restric-o-de-vacinas]
1|2940|
0|2943|[abase-restric-o-de-vacinas]
1|2947|
1|2948|
